Date,Positive,Negative,Neutral,Count
2022-01-11,55.55555555555556,11.11111111111111,33.333333333333336,9
2022-01-12,45.45454545454545,0.0,54.54545454545455,11
2022-01-13,44.44444444444444,22.22222222222222,33.333333333333336,9
2022-01-14,27.272727272727273,36.36363636363637,36.36363636363637,11
2022-01-15,100.0,0.0,0.0,2
2022-01-16,25.0,25.0,50.0,4
2022-01-17,50.0,0.0,50.0,4
2022-01-18,55.55555555555556,11.11111111111111,33.333333333333336,9
2022-01-19,63.63636363636363,9.090909090909092,27.272727272727273,11
2022-01-20,25.0,50.0,25.0,4
2022-01-21,53.84615384615385,7.6923076923076925,38.46153846153846,13
2022-01-22,50.0,20.0,30.0,10
2022-01-23,41.1764705882353,23.529411764705884,35.294117647058826,17
2022-01-24,33.333333333333336,6.666666666666667,60.0,15
